"","unlistNoticias","Freq"
"1","",67
"2","a",8
"3","activities",3
"4","amateur",1
"5","american",1
"6","ams",2
"7","an",1
"8","and",11
"9","annual",1
"10","any",3
"11","appointments",2
"12","are",4
"13","are:to",1
"14","as",2
"15","astronomers",1
"16","astronomical",1
"17","astronomy",2
"18","astronomythe",1
"19","astronomyto",3
"20","at",1
"21","available",1
"22","be",2
"23","being",1
"24","board",2
"25","books",1
"26","both",1
"27","by",3
"28","cannot",2
"29","carry",1
"30","certificate",1
"31","collect",1
"32","collection",1
"33","contacting",1
"34","coordinators",1
"35","corporate",1
"36","corporation",2
"37","deal",1
"38","dealers",1
"39","dealing",2
"40","dependent",1
"41","directly",1
"42","director",1
"43","directors:",1
"44","directors’",1
"45","distribute",1
"46","do",3
"47","electronic",1
"48","encourage",1
"49","etc",1
"50","examination",1
"51","excellent",1
"52","executive",1
"53","fireballs",1
"54","for",4
"55","from",2
"56","funding",1
"57","galaxies",1
"58","give",1
"59","have",2
"60","how",1
"61","hunt",1
"62","in",3
"63","in geneseo",1
"64","include",1
"65","incorporated",1
"66","incorporation",2
"67","information",4
"68","interested",1
"69","is",3
"70","large",1
"71","largely",1
"72","likewise",1
"73","limited",2
"74","local",1
"75","ltd",1
"76","made",1
"77","managed",1
"78","manager",1
"79","many",1
"80","materials",1
"81","may",1
"82","meeting",1
"83","meteor",1
"84","meteoric",8
"85","meteorites",2
"86","meteors",1
"87","micrometeorite",1
"88","micrometeorites",1
"89","monitor",1
"90","museum",1
"91","new",2
"92","newsletter",1
"93","no",1
"94","nor",1
"95","not",2
"96","not-for-profit",1
"97","number",1
"98","objects",1
"99","observe",1
"100","obtained",1
"101","of",9
"102","offer",1
"103","office",1
"104","on",5
"105","one",1
"106","operations",2
"107","or",7
"108","other",2
"109","our",4
"110","out",1
"111","phenomenato",1
"112","planetarium",2
"113","planets",1
"114","plot",1
"115","professional",1
"116","program",2
"117","projects",1
"118","promote",1
"119","provide",1
"120","public",2
"121","publish",2
"122","purposes",1
"123","quoting",1
"124","recognize",1
"125","referral",1
"126","related",2
"127","relating",1
"128","remains",1
"129","report",1
"130","reputable",1
"131","research",1
"132","scientific",3
"133","secretary",1
"134","service",1
"135","services",1
"136","servicessince",1
"137","should",1
"138","society",2
"139","societywe",1
"140","staff",2
"141","stars",1
"142","state",1
"143","such",1
"144","support",1
"145","suspected",1
"146","taken",1
"147","the",9
"148","them",1
"149","there",1
"150","these",1
"151","things",1
"152","this",1
"153","three-person",1
"154","to",9
"155","trains",1
"156","treasurer",1
"157","visual",1
"158","volunteer",1
"159","way",1
"160","we",3
"161","who",1
"162","with",4
"163","york",1
"164","yorklimitations",1
